country_code,country,year,inflation,gfcf,gov_exp,life_expectancy,gdp_per_capita
MKD,North Macedonia,YR2002,2.31459794083219,21.4219142164351,8.64087963104248,73.0390243902439,6519.18922231312
GBR,United Kingdom,YR2005,2.0891364902507,17.5910760257916,13.3879680633545,79.0487804878049,32726.1331883772
UKR,Ukraine,YR2005,13.5695764909248,21.8700049199147,13.7283248901367,67.9568292682927,7214.11181640625
CHE,Switzerland,YR2005,1.17195420333703,27.2629980573135,15.1917314529419,81.2365853658537,41524.8488732932
SWE,Sweden,YR2005,0.453170852576182,22.4115643183326,12.6949138641357,80.5463414634146,34244.4650156257
ESP,Spain,YR2005,3.36881409750383,29.0115888487389,10.4052257537842,80.1707317073171,27606.9340516269
SVN,Slovenia,YR2005,2.45150132316475,26.5929491350818,14.0315799713135,77.6121951219512,23852.6430383942
SVK,Slovak Republic,YR2005,2.70908494588384,26.2011469236098,9.77882766723633,73.9048780487805,16639.3941239799
RUS,Russian Federation,YR2005,12.685303950735,17.7553986041778,11.2215156555176,65.529756097561,11822.3466796875
ROU,Romania,YR2005,9.01491283343835,23.3629492100554,10.8933877944946,71.9121951219512,9602.10475909396
PRT,Portugal,YR2005,2.27716394887834,23.1265756274961,14.2934398651123,78.0707317073171,22725.2774946084
POL,Poland,YR2005,2.18379872390258,18.8930168697566,13.7390213012695,74.9951219512195,13896.7933802514
NOR,Norway,YR2005,1.53213367609254,20.2992232993179,12.2606573104858,80.0414634146342,47966.8640112608
NLD,Netherlands,YR2005,1.68813017869623,20.4134090178858,12.1407403945923,79.3463414634146,37625.5617084958
MDA,Moldova,YR2005,11.9591837222126,24.5881546796983,19.5349559783936,68.169,4865.37378094962
MLT,Malta,YR2005,3.00796652450313,22.8366869556788,12.706337928772,79.3,22306.5911690754
LUX,Luxembourg,YR2005,2.48769665164088,19.3477913830151,11.186240196228,79.4317073170732,68787.8547494266
LTU,Lithuania,YR2005,2.65848484065262,23.4099047932635,18.2094573974609,71.2536585365854,14510.5967849364
LVA,Latvia,YR2005,6.74845027893112,31.0155845144441,15.2358856201172,71.3560975609756,13913.8517478568
ITA,Italy,YR2005,1.9852929852798,21.2816542297842,9.4085693359375,80.7829268292683,30130.6444569128
IRL,Ireland,YR2005,2.42969198392957,29.8289266430491,12.4351167678833,78.9439024390244,40466.2343515711
ISL,Iceland,YR2005,3.98704782806593,29.6081576738567,17.339469909668,81.5024390243902,37322.7399272793
HUN,Hungary,YR2005,3.56151711378352,23.8339327441342,12.1468019485474,72.6487804878049,17108.3405820025
GRC,Greece,YR2005,3.54507273335078,20.8289512320054,9.24479007720947,79.2390243902439,25577.5241052346
DEU,Germany,YR2005,1.54691114751328,19.0766985242384,8.78028964996338,78.9317073170732,31794.0960095207
GEO,Georgia,YR2005,8.24709043114158,28.7869270022115,10.9017448425293,71.13,5174.30883005271
FRA,France,YR2005,1.74586936380482,21.7973786811861,10.3551263809204,80.1634146341463,30494.2141075076
FIN,Finland,YR2005,0.623874450025191,22.9180202444637,12.4618701934814,78.8170731707317,32051.7940038456
EST,Estonia,YR2005,4.07971423199849,32.8627282961615,17.5179996490479,72.5682926829268,16634.8927393745
DNK,Denmark,YR2005,1.81781458291254,21.1733752046214,12.4436130523682,77.8439024390244,34150.1594558945
CZE,Czechia,YR2005,1.8570978910922,28.7884621413251,11.2287092208862,75.9243902439025,22095.3878539836
CYP,Cyprus,YR2005,2.56016132330231,21.5264885234457,14.4089345932007,78.101,27763.154296875
HRV,Croatia,YR2005,3.31717824448045,25.1760434258915,11.7812232971191,75.2446341463415,15455.1206240928
BGR,Bulgaria,YR2005,5.03883807111902,25.6651645226304,11.2711486816406,72.5609756097561,10291.4238650414
BEL,Belgium,YR2005,2.78143263670022,22.1538935922611,10.9779834747314,78.9804878048781,33177.8909458158
BLR,Belarus,YR2005,10.3388794457932,26.5166266823018,14.2633962631226,68.8512195121951,9647.12117983096
AUT,Austria,YR2005,2.29913785639285,23.0521157470689,9.39920520782471,79.3317073170732,35013.7140443423
GBR,United Kingdom,YR2006,2.4556616643929,17.8282761722184,13.7800807952881,79.2487804878049,34734.8160246415
UKR,Ukraine,YR2006,9.05252491133248,24.3894884764733,13.6871948242188,68.0775609756098,8054.0400390625
CHE,Switzerland,YR2006,1.05950928324802,27.0602553682072,15.4210720062256,81.490243902439,46275.5494842863
SWE,Sweden,YR2006,1.3602146862768,23.2293760899622,12.7659597396851,80.7487804878049,37729.9277124771
ESP,Spain,YR2006,3.51557576832128,30.0273056106505,10.4370346069336,80.8219512195122,30720.0135089141
SVN,Slovenia,YR2006,2.45792444195865,27.7455461953844,13.940541267395,78.0865853658537,25720.2808067434
SVK,Slovak Republic,YR2006,4.48333120449611,25.5776020567259,10.0411043167114,74.2048780487805,18913.9256485084
RUS,Russian Federation,YR2006,9.66865454789263,18.5034095135383,12.1500587463379,66.7275609756098,14912.234375
ROU,Romania,YR2006,6.55851412276983,26.6161477360716,11.6164827346802,72.1634146341463,11556.6242467632
PRT,Portugal,YR2006,3.1076654587105,22.5328535552248,14.1532611846924,78.419512195122,24682.5646236933
POL,Poland,YR2006,1.28469394366408,20.4049630130415,13.3620262145996,75.1439024390244,15152.2460110485
NOR,Norway,YR2006,2.32934980757544,20.8689402666492,11.939603805542,80.3439024390244,54369.1766461345
NLD,Netherlands,YR2006,1.10150106517702,21.0409445963192,11.9854497909546,79.6975609756098,41013.5514436649
MDA,Moldova,YR2006,12.777755783035,28.3583478571748,19.9711990356445,68.479,5270.8714784317
